algorithm,corpus,pattern,length,rarity_bucket,comparisons,bmh_comparisons,comparison_reduction_pct
FBAS,gutenberg,"where secrecy  was possible, except to Elizabeth; and from all B",64,rare,41710.0,41654.0,-0.13444087002448746
FBAS,gutenberg,âs departure s,16,rare,89015.0,92619.0,3.891210226843304
FBAS,gutenberg,â    It may be,16,rare,69850.0,76729.0,8.965319501101279
FBAS,pizza,     Nod,8,common,16355199.0,16265825.0,-0.5494587578558112
FBAS,pizza,   Story of the ,16,medium,11414177.0,16100751.0,29.10779751826483
FBAS,pizza,"  ""What ",8,rare,16220774.0,20017323.0,18.9663173242496
FBAS,pizza,  1.62.  A MAYOR,16,rare,7691670.0,7614361.0,-1.015305158239805
FBAS,pizza,  I don't know what it can ever ,32,rare,7275511.0,8897933.0,18.233695398695406
FBAS,pizza," a member of his family that he did not want the bother of ""buyi",64,rare,4874004.0,5049803.0,3.481304122160805
FBAS,pizza, a very active part in all that ,32,medium,6748482.0,8474558.0,20.367740712848978
FBAS,pizza, arid Moslem rea,16,medium,11392756.0,12211099.0,6.701632670409109
FBAS,pizza, breasted the stream and ceased not swimming with them until it reached the farther side. There Yusuf dismounted and knocked at ,128,medium,4153030.0,5041036.0,17.615545693385247
FBAS,pizza, clank.  You've ,16,rare,9444435.0,11858307.0,20.35595806382817
FBAS,pizza," drive Richard Hardie to despair.""  ""No, no,"" implored Peggy; ""t",64,rare,4352742.0,4529595.0,3.904388802972451
FBAS,pizza, far was the anxiety experienced on that score by the King of Na,64,rare,5358313.0,5713854.0,6.22243760516107
FBAS,pizza, from my sister ,16,medium,11250567.0,13263173.0,15.174393035512693
FBAS,pizza, he depe,8,medium,17170009.0,18301406.0,6.18202229927034
FBAS,pizza, his good-humour,16,rare,8467537.0,8887847.0,4.729041802812312
FBAS,pizza," little importance ... no dolmens, menhirs, or ancient circles have been discovered in Judaea, and only one doubtful circle in S",128,rare,3354451.0,3369263.0,0.43962136526593504
FBAS,pizza, noticed.  [FN#41] He had now le,32,rare,6982934.0,7612506.0,8.270233218863801
FBAS,pizza," other than Marjanah killed thy daughter, for she hated her in secret;"" and she continued to her son, ""Fret not for taking the b",128,rare,3333466.0,3459598.0,3.645857119815655
FBAS,pizza, politic,8,medium,16175181.0,15865934.0,-1.9491257180321058
FBAS,pizza," surprise, not to say horror of her daughter, and she actually f",64,medium,5071493.0,5140227.0,1.3371782997132229
FBAS,pizza," these four only.  'Whither have they gone, and my host also?' cried Manawyddan, and they searched the hall, and there was no ma",128,rare,3904598.0,4201188.0,7.059669788640737
FBAS,pizza,!  I know what y,16,rare,10963444.0,11035756.0,0.6552518921222977
FBAS,pizza,"""Yes.""  ",8,rare,17183014.0,20442256.0,15.943651229101132
FBAS,pizza,.  On the 26th Camilla came back,32,rare,6301081.0,6138264.0,-2.652492626579763
FBAS,pizza,": for I fear thine accompanying me, without having his permission, lest he take umbrage at me seeing thee in my society."" Now wh",128,rare,3721566.0,3964626.0,6.130716995751932
FBAS,pizza,"Allah, the Compassionating, the ",32,medium,8033043.0,11323607.0,29.059327120766376
FBAS,pizza,But will it not be more honourable for you to begin?'  'No; I th,64,rare,4292404.0,5025216.0,14.582696544785339
FBAS,pizza,Germans. Bungler,16,medium,10294312.0,10803182.0,4.710371444265218
FBAS,pizza,across to anothe,16,medium,10776205.0,12861155.0,16.21121897683373
FBAS,pizza,ad a fai,8,medium,16607204.0,16868911.0,1.5514160931906038
FBAS,pizza,"ahrazad was surprised by the dawn of day and fell silent and ceased to say her permitted say. Then quoth her sister Dunyazad, ""H",128,rare,4018676.0,4031243.0,0.31174007619982225
FBAS,pizza,"ails connected with the fleet.  Bonaparte, whose attention was c",64,medium,5350471.0,5439889.0,1.6437467749801513
FBAS,pizza,aken his life; but that only an interchange of courtesy took pla,64,rare,5353788.0,5689569.0,5.901694838396371
FBAS,pizza,asket of gold.  ,16,medium,10066667.0,12126022.0,16.982939664796913
FBAS,pizza,"at the future might hold, roamed",32,medium,8203637.0,8339891.0,1.6337623597238862
FBAS,pizza,band. He untied it and examined ,32,rare,6088986.0,7693585.0,20.856323807431774
FBAS,pizza,bows of his own boat to the land,32,medium,7460510.0,8062633.0,7.468069053868631
FBAS,pizza,"ce of the tiles, where she builds huge nests which endanger the ",64,medium,5925557.0,8269276.0,28.342493345245703
